price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 345.000,185m²,185m²,6,2,1,3,1,40,",  Martínez, San Isidro"
USD 420.000,480m²,196m²,4,3,,3,1,A estrenar,",  Las Tipas, Nordelta"
USD 1.450.000,1200m²,480m²,15,5,,3,1,28,",  Martínez, San Isidro"
USD 1.050.000,1500m²,450m²,5,5,1,4,,5,",  El Golf, Nordelta"
,,,,,,,,,
USD 420.000,803m²,230m²,6,3,,3,1,A estrenar,",  San Rafael, Villanueva"
USD 490.000,600m²,357m²,7,3,,4,,40,",  Olivos, Vicente López"
USD 425.000,554m²,213m²,5,3,,3,1,2,",  Las Tipas, Nordelta"
USD 990.000,1112m²,471m²,8,4,,4,1,7,",  La Isla, Nordelta"
USD 440.000,434m²,417m²,9,4,,4,,25,",  Rosario, Santa Fe"
,,,,,,,,,
USD 298.000,240m²,165m²,7,2,,3,1,30,",  Boulogne Sur Mer, San Isidro"
,,,,,,,,,
,,,,,,,,,
USD 490.000,220m²,196m²,,2,,3,,,",  Los Lagos, Nordelta"
USD 490.000,550m²,210m²,5,3,,3,1,A estrenar,",  Castaños, Nordelta"
USD 580.000,261m²,164m²,5,2,1,3,1,90,",  Coghlan, Capital Federal"
USD 500.000,300m²,300m²,4,4,,3,,8,",  Greenville II, Córdoba"
USD 640.000,311m²,260m²,6,3,1,3,1,1,",  Nuñez, Capital Federal"
,,,,,,,,,
,,,,,,,,,
USD 1.650.000,1093m²,510m²,10,5,1,4,1,5,",  La Isla, Nordelta"
USD 790.000,799m²,476m²,10,4,,5,1,70,",  La Lucila, Vicente López"
,,,,,,,,,
USD 1.380.000,869m²,430m²,7,5,,4,,7,",  Cabos del Lago, Nordelta"
USD 139.900,188m²,96m²,3,2,,2,1,En construcción,",  María Eugenia Residences & Village, Moreno"
Consultar precio,570m²,350m²,10,5,1,4,1,5,",  Belgrano, Capital Federal"
Consultar precio,1144m²,587m²,9,4,,4,1,A estrenar,",  Los Castores, Nordelta"
,,,,,,,,,
USD 670.000,1160m²,290m²,7,3,,3,1,5,",  Santa María de Tigre, Rincón de Milberg"
,,,,,,,,,
USD 530.000,425m²,425m²,5,3,,3,1,70,",  Caballito, Capital Federal"
USD 710.000,405m²,405m²,4,2,1,3,1,En construcción,",  Nuñez, Capital Federal"
USD 799.000,730m²,250m²,5,5,,4,1,En construcción,",  Los Lagos, Nordelta"
USD 395.000,238m²,175m²,,4,,3,,,",  Ayres Plaza, Pilar"
USD 236.000,144m²,138m²,5,3,,3,1,35,",  Olivos, Vicente López"
USD 390.000,295m²,186m²,4,3,,3,,35,",  Acassuso, San Isidro"
,,,,,,,,,
USD 595.000,301m²,296m²,5,4,,4,,15,",  Villa Urquiza, Capital Federal"
USD 280.000,,185m²,,3,,3,,3,",  San Matías, Escobar"
USD 795.000,726m²,426m²,,2,,4,,37,",  San Isidro, San Isidro"
USD 440.000,272m²,260m²,6,3,,4,,15,",  Martínez, San Isidro"
USD 550.000,710m²,280m²,5,3,1,4,1,16,",  Barrancas del Lago, Nordelta"
USD 499.000,204m²,122m²,4,3,,3,,75,",  Colegiales, Capital Federal"
USD 740.000,800m²,310m²,6,4,1,3,1,11,",  Las Glorietas, Nordelta"
,,,,,,,,,
,,,,,,,,,
USD 1.285.000,1800m²,330m²,6,2,,3,1,30,",  Tortugas Country Club, Manuel Alberti"
USD 495.000,670m²,253m²,6,4,,3,1,8,",  Los Sauces, Nordelta"
